Date;Time;Still;Tilting;Walking;Running;In a vehicle;On a bicycle
09-02-2021;01:00:11;59;0;0;0;0;0
09-02-2021;02:00:11;60;0;0;0;0;0
09-02-2021;03:00:11;60;0;0;0;0;0
09-02-2021;04:00:11;60;0;0;0;0;0
09-02-2021;05:00:11;60;0;0;0;0;0
09-02-2021;06:00:39;59;0;0;0;0;0
09-02-2021;07:00:39;60;0;0;0;0;0
09-02-2021;08:00:39;59;0;0;0;0;0
09-02-2021;09:00:48;49;10;0;0;0;0
09-02-2021;10:00:48;24;35;0;0;0;0
09-02-2021;11:00:13;3;29;26;0;0;0
09-02-2021;12:00:04;40;20;0;0;0;0
09-02-2021;13:03:11;55;3;1;0;0;0
09-02-2021;14:00:16;25;25;8;0;0;0
09-02-2021;15:00:32;28;30;2;0;0;0
09-02-2021;16:00:17;4;34;19;0;0;0
09-02-2021;17:00:14;60;0;0;0;0;0
09-02-2021;18:00:41;35;24;0;0;0;0
09-02-2021;19:00:39;0;59;0;0;0;0
09-02-2021;20:00:52;15;23;22;0;0;0
09-02-2021;21:00:34;4;54;0;0;0;0
09-02-2021;22:00:11;0;60;0;0;0;0
09-02-2021;23:00:34;0;59;0;0;0;0
09-02-2021;24:00:00;1;57;0;0;0;0
10-02-2021;01:00:27;7;52;0;0;0;0
10-02-2021;02:00:21;9;50;0;0;0;0
10-02-2021;03:00:02;50;10;0;0;0;0
10-02-2021;04:00:35;60;0;0;0;0;0
10-02-2021;05:00:35;60;0;0;0;0;0
10-02-2021;06:00:39;60;0;0;0;0;0
10-02-2021;07:00:00;60;0;0;0;0;0
10-02-2021;08:00:00;60;0;0;0;0;0
10-02-2021;09:00:39;60;0;0;0;0;0
10-02-2021;10:02:32;46;11;1;0;0;0
10-02-2021;11:00:11;3;57;0;0;0;0
10-02-2021;12:00:32;26;22;11;0;0;0
10-02-2021;13:00:32;60;0;0;0;0;0
10-02-2021;14:44:10;45;15;0;0;0;0
10-02-2021;15:04:38;0;60;0;0;0;0
10-02-2021;16:40:41;8;23;28;0;0;0
10-02-2021;17:09:15;7;51;0;0;0;0
10-02-2021;18:00:16;21;31;10;0;0;0
10-02-2021;19:00:15;9;49;0;0;0;0
10-02-2021;20:00:27;44;14;0;0;0;0
10-02-2021;21:00:07;44;15;0;0;0;0
10-02-2021;22:00:12;0;60;0;0;0;0
10-02-2021;23:00:19;0;60;0;0;0;0
10-02-2021;24:00:00;5;53;0;0;0;0
11-02-2021;01:00:47;60;0;0;0;0;0
11-02-2021;02:00:47;59;0;0;0;0;0
11-02-2021;03:00:46;59;0;0;0;0;0
11-02-2021;04:00:00;60;0;0;0;0;0
11-02-2021;05:05:46;60;0;0;0;0;0
11-02-2021;06:00:00;60;0;0;0;0;0
11-02-2021;07:00:46;60;0;0;0;0;0
11-02-2021;08:00:53;0;59;0;0;0;0
11-02-2021;09:00:01;0;60;0;0;0;0
11-02-2021;10:03:11;1;58;0;0;0;0
11-02-2021;11:00:31;56;2;0;0;0;0
11-02-2021;12:00:06;34;23;2;0;0;0
11-02-2021;13:00:06;40;20;0;0;0;0
11-02-2021;014:00:00;60;0;0;0;0;0
11-02-2021;015:00:00;60;0;0;0;0;0
11-02-2021;16:00:48;60;0;0;0;0;0
11-02-2021;17:02:33;46;13;0;0;0;0
11-02-2021;18:00:37;4;36;19;0;0;0
11-02-2021;19:00:13;27;9;22;0;0;0
11-02-2021;20:00:01;59;0;0;0;0;0
11-02-2021;21:00:21;60;0;0;0;0;0
11-02-2021;22:00:15;59;0;0;0;0;0
11-02-2021;23:00:15;60;0;0;0;0;0
11-02-2021;24:00:00;59;0;0;0;0;0
12-02-2021;01:00:00;7;51;0;0;0;0
12-02-2021;02:00:00;60;0;0;0;0;0
12-02-2021;03:00:00;60;0;0;0;0;0
12-02-2021;04:00:00;60;0;0;0;0;0
12-02-2021;05:00:00;60;0;0;0;0;0
12-02-2021;06:45:14;60;0;0;0;0;0
12-02-2021;07:00:00;60;0;0;0;0;0
12-02-2021;08:00:05;60;0;0;0;0;0
12-02-2021;09:00:05;59;0;0;0;0;0
12-02-2021;10:00:39;49;7;3;0;0;0
12-02-2021;11:00:06;12;21;24;0;0;0
12-02-2021;12:00:20;13;47;0;0;0;0
12-02-2021;13:33:10;44;14;0;0;0;0
12-02-2021;14:20:24;60;0;0;0;0;0
12-02-2021;15:19:30;38;21;0;0;0;0
12-02-2021;16:00:33;32;22;5;0;0;0
12-02-2021;017:00:00;60;0;0;0;0;0
12-02-2021;18:00:33;60;0;0;0;0;0
12-02-2021;19:00:01;58;0;0;0;0;0
12-02-2021;20:00:43;2;58;0;0;0;0
12-02-2021;021:00:00;0;60;0;0;0;0
12-02-2021;022:00:00;0;60;0;0;0;0
12-02-2021;23:00:43;0;60;0;0;0;0
12-02-2021;24:00:00;45;14;0;0;0;0
13-02-2021;01:11:16;25;33;0;0;0;0
13-02-2021;02:00:00;40;19;0;0;0;0
13-02-2021;03:15:53;60;0;0;0;0;0
13-02-2021;04:00:00;60;0;0;0;0;0
13-02-2021;05:05:54;60;0;0;0;0;0
13-02-2021;06:00:00;60;0;0;0;0;0
13-02-2021;07:00:00;60;0;0;0;0;0
13-02-2021;08:00:05;60;0;0;0;0;0
13-02-2021;09:00:04;41;17;0;0;0;0
13-02-2021;10:00:54;0;59;3;0;0;0
